step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
182,35788,364,0.026092675644422948,1.0,1.0,,,,,,,,,
183,35918,366,0.02808072997132513,1.0,1.0,,,,,,,,,
184,36112,368,0.03564151267492138,0.5,0.8,,,,,,,,,
185,36322,370,0.027531296289055786,1.0,1.0,0.037637698545121875,0.5,0.8,,,,,,
186,36532,372,0.039101412930400474,0.5,0.8,,,,,,,,,
187,36774,374,0.034631208653027,0.5,0.8,,,,,,,,,
188,37000,376,0.024855392156748295,1.0,1.0,,,,,,,,,
189,37210,378,0.03600987904168086,0.0,0.5,,,,,,,,,
190,37452,380,0.02663449013478415,0.0,0.5,,,,,,,,,
191,37566,382,0.044576481879251194,1.0,1.0,,,,,,,,,
192,37728,384,0.04049650015088081,0.5,0.8,,,,,,,,,
193,37954,386,0.043533317249323966,0.0,0.6666666666666666,0.027362164757002462,1.0,1.0,,,,,,
194,38148,388,0.03766404971852808,0.5,0.8,,,,,,,,,
195,38278,390,0.04126579132584539,0.5,0.8,,,,,,,,,
196,38424,392,0.030229263414423464,1.0,1.0,,,,,,,,,
197,38634,394,0.026738989181521903,1.0,1.0,,,,,,,,,
198,38844,396,0.0319559948690445,0.5,0.8333333333333334,,,,,,,,,
199,38990,398,0.03510800031834757,1.0,1.0,,,,,,,,,
200,39120,400,0.04946696038963638,0.5,0.8,,,,,,,,,
201,39298,402,0.04017707212688534,0.5,0.8,0.028613401467194176,0.5,0.8,,,,,,
202,39524,404,0.02593287179171706,0.5,0.8,,,,,,,,,
203,39782,406,0.02357975820802494,1.0,1.0,,,,,,,,,
204,40024,408,0.02896002711868641,1.0,1.0,,,,,,,,,
205,40266,410,0.03151508579971415,0.5,0.8,,,,,,,,,
206,40460,412,0.03067335004481114,1.0,1.0,,,,,,,,,
207,40702,414,0.025907855662306245,0.5,0.8,,,,,,,,,
208,40896,416,0.02596550320377901,1.0,1.0,,,,,,,,,
209,41170,418,0.02170854536158539,1.0,1.0,0.035473098828020334,0.5,0.8,,,,,,
210,41332,420,0.0349825141344154,0.5,0.8,,,,,,,,,
211,41542,422,0.03266156562148983,1.0,1.0,,,,,,,,,
212,41768,424,0.03446854907455353,0.5,0.8,,,,,,,,,
213,41898,426,0.03052076631300224,1.0,1.0,,,,,,,,,
